name,id,duration,durationApr,durationTokens,nonDurationApr,nonDurationTokens,toNonDurationDiff,isDeficient
Infrared x Kodiak W,0xab37ea8895eed81c4aa76d5dba64441756904b15e78f6ffa5183b0fc1563c1c5,90,25.545%,1415708.7201925525,26.637%,1398451.1346663358,0,false
Veda x Ether.fi eBTC,0xabf4b2f17bc32faf4c3295b1347f36d21ec5629128d465b5569e600bf8d46c4f,90,4.544%,827344.5459653847,4.685%,840885.851204134,13541.305238749366,true
Infrared x Kodiak WE,0x7ecf55915abe3c24dc5d8365a8edabc8833f4efb8e7c027429c9528aed91ecb7,90,4.544%,780819.1250147801,4.685%,738187.0612901562,0,false
Supply wETH on Dolom,0x0a7565b14941c6a3dde083fb7a857e27e12c55fa34f709c37586ec585dbe7f3f,90,9.123%,723157.1387535848,9.513%,682643.8638130093,0,false
Supply LBTC to Concr,0xa31a8bb230f77a5d286985b92fe8d0c7504a1892568d70685659f781aec78209,90,4.544%,658901.8914686401,4.685%,669686.2638057482,10784.372337108129,true
Infrared x Kodiak WE,0x17ffd16948c053cc184c005477548e559566879a0e2847e87ebd1111c602535c,90,25.545%,655419.0761816215,26.637%,654689.6777236958,0,false
Infrared x Kodiak WB,0x6262ac035c2284f5b5249a690a6fd81c35f1ecef501da089f25741a4492cf5f3,90,25.545%,477836.6367417576,26.637%,494897.9590379746,17061.322296216968,true
Veda x Ether.fi weET,0xff0182973d5f1e9a64392c413caaa75f364f24632a7de0fdd1a31fe30517fdd2,90,4.544%,395127.1485483281,4.685%,372620.933729685,0,false
Origami USDC Boyco V,0xa655556eb64a0fd18b9a3c80794ab370743bc431a4b2a6116fa97dcc7f741a2b,90,8.211%,349105.1185345276,8.562%,364149.7918049818,15044.673270454223,true
Veda x Ether.fi eBTC,0xb36f14fd392b9a1d6c3fabedb9a62a63d2067ca0ebeb63bbc2c93b11cc8eb3a2,90,4.544%,347128.18092667713,4.685%,352088.46791203757,4960.286985360435,true
Supply WBTC to Concr,0xece925dbccbb21333dbe99679fef655ad2dc2cb185e0963711c944e302595b28,90,4.544%,331569.9161804916,4.685%,336307.883393573,4737.967213081371,true
